Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
Magnezij + Kalcijev L-Treonat,HealthyWorld®,240 kapsul,19.99 €,24.99 €,-20%,"['za mišice + živčni sistem', 'zmanjševanje utrujenosti in izčrpanosti', 'z 2 oblikama magnezija']"
Weight Control glukomanan + krom,FutuNatura,180 kapsul,17.99 €,,,"['vzdrževanje ravni glukoze', 'hujšanje in presnova', 'tudi za manj aktivne']"
Magnezijev citrat 444 mg,OnEnergy,240 kapsul,16.99 €,22.99 €,-26%,"['podpora mišicam in živčnemu sistemu', '444 mg magnezija v 2 kapsulah', 'boljša absorpcija']"
3x Magnezij + vitamin B6 – šumeče tablete,OnEnergy,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['podpora mišic in živčnega sistema', 'okus limone', 'hitra in enostavna priprava']"
Turkesteron 1200 mg,HealthyWorld®,90 kapsul,24.99 €,29.99 €,-17%,"['iz izvlečkaAjuga Turkestanica', '1200 mg v 2 kapsulah', 'standardiziran na 10 %']"
Magnezijev kelat 375 mg,HealthyWorld®,120 kapsul,12.99 €,14.99 €,-13%,"['za mišice + živčni sistem', 'zmanjševanje utrujenosti in izčrpanosti', '375 mg magnezija v 3 kapsulah']"
L-karnozin 1000 mg,HealthyWorld®,120 kapsul,24.99 €,29.99 €,-17%,"['1000 mg v 2 kapsulah', 'visoka biorazpoložljivost', 'za športnike, starejše ...']"
Magnezij + Kalcijev L-Treonat,OnEnergy,180 kapsul,16.99 €,22.99 €,-26%,"['2 obliki magnezija', 'živčevje + mišice + kosti', 'zmanjševanje utrujenosti']"
3x Magnezij DIRECT 400 mg,HealthyWorld®,skupaj 90 vrečk,14.99 €,20.97 €,-29%,"['za mišice + živčni sistem', 'uživanje brez tekočine', 'okus pomaranče']"
Kofein 200 mg,OnEnergy,365 tablet,9.99 €,12.99 €,-23%,"['visok odmerek', 'za fizično aktivne – pred vadbo', 'enostavno odmerjanje']"
Active FatBurn,Purely Nutrition,120 kapsul,14.99 €,19.99 €,-25%,"['presnova makrohranil', '10 aktivnih sestavin', 'izvlečki guarane, čilija in zelenega čaja']"
Magnezij SUPRA,Sanct Bernhard,120 kapsul,9.99 €,14.49 €,-31%,"['400 mg magnezija', 'za več energije', 'podpora mišicam']"
L-karnitin tartrat,FutuNatura,120 kapsul,12.99 €,,,"['primerno je za vegane', 'biološko aktivna oblika', 'odlično za športnike']"
NAC 750 mg,Zein Pharma,120 kapsul,21.49 €,,,"['stabilizator beljakovinskih struktur', 'N-acetil cistein', 'predhodnik glutationa']"
GABA 500 mg,FutuNatura,90 kapsul,15.49 €,16.49 €,-6%,"['gama-aminomaslena\xa0kislina', 'nevrotransmiter v možganih', 'vrhunska kakovost']"
3x Magnezij – šumeče tablete,FutuNatura,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['okus limone', '250 mg v dnevnem odmerku', 'za energijo, mišice, kosti']"
R-ALA – R-alfa lipoična kislina 300 mg,OnEnergy,120 kapsul,24.99 €,29.99 €,-17%,"['za športnike', 'dvig energije', '300 mg na kapsulo']"
Magnezij 125 mg,WeightWorld,90 gumi bonbonov,16.49 €,16.99 €,-3%,"['naravna aroma grozdja', 'za mišice in živčni sistem', '125 mg magnezijevega citrata v 2 kapsulah']"
L-glutamin 4500 mg MEGA CAPS,OnEnergy,400 kapsul,19.99 €,26.99 €,-26%,"['4500 mg v 6 kapsulah', 'aminokislina', 'za aktivne, športnike, fitneserje']"
Isoactive izotonični napitek – limona,ActivLab,"31,5 g",0.49 €,,,"['prah za pripravo napitka', 'z izvlečkom zelenega čaja', 'za fizično aktivne']"
3x Magnezij – šumeče tablete,HealthyWorld®,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['zmanjševanje utrujenosti, mišice, kosti', 'hitra\xa0in enostavna priprava', 'z okusom limone']"
Brezvodni kofein v prahu,NatVita,120 g,9.99 €,,,"['čista oblika kofeina', 'za fizično aktivne', 'enostavno uživanje']"
Liposomski luteolin 500 mg,OnEnergy,60 kapsul,14.99 €,19.99 €,-25%,"['naravni rastlinski flavonoid', '500 mg\xa0luteolina v dnevnem odmerku', 'izboljšana biorazpoložljivost']"
Šumeče tablete z elektroliti,AllNutrition,20 šumečih tablet,3.49 €,,,"['za učinkovit napitek', 'Mg + Ca+ K + Na', 'okus: pomaranča']"
Grahovi proteini - BIO,Dragon Superfoods,200 g,6.99 €,,,"['82 % beljakovin', 'blagega okusa', 'lahko prebavljivi']"
Magnezijev citrat Forte + vitamin B6,Purely Nutrition,60 kapsul,7.99 €,9.99 €,-20%,"['za živčni sistem', 'delovanje mišic', 'več energije']"
3x Elektroliti – šumeče tablete,Purely Nutrition,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['natrij + kalij + klorid', 'podpora hidracije', 'okus črnega ribeza']"
L-tavrin 1000 mg,HealthyWorld®,180 kapsul,12.99 €,14.99 €,-13%,"['aktivna oblika\xa0tavrina', 'pogojno esencialna aminokislina', '1000 mg v 2 kapsulah']"
3x Magnezij DIRECT 400 mg,OnEnergy,skupaj 90 vrečk,14.99 €,20.97 €,-29%,"['za mišice in živčni sistem', 'z okusom pomaranče', '400 mg magnezija na vrečko']"
Forskolin – iz izvlečka indijske koprive 20 mg,HealthyWorld®,60 kapsul,14.99 €,19.99 €,-25%,"['Coleus forskohlii', '2 mg čistega forskolina na\xa0kapsulo', 'podpora telesa med hujšanjem']"
Whey proteini iz sirotke – čokolada,OnEnergy,1000 g,28.99 €,32.99 €,-12%,"['osnovni gradniki mišic', 'samo 112 kcal na porcijo', 'visoka vsebnost beljakovin']"
Isoactive izotonični napitek – pomaranča,ActivLab,"31,5 g",0.49 €,,,"['prah za pripravo napitka', 'z izvlečkom guarane', 'za fizično aktivne']"
3x Epsomska sol,FutuNatura,skupaj 3000 g,17.99 €,23.97 €,-25%,"['magnezijev sulfat', 'grenka sol', 'vsestranska uporaba']"
HYDRO Energijski gel s kofeinom – kola,Vitaldin Sport,55 ml,1.19 €,,,"['hiter vir energije', 'z vitaminom B6', 'enostavno uživanje brez vode']"
Celadrin 120 mg,Bioherba,60 kapsul,11.99 €,,,"['240 mg celadrina na 2 kapsuli', 'maščobne kisline', 'enostavno doziranje']"
BIO Konopljini proteini v prahu,Raab Vitalfood,125 g,6.99 €,,,"['visoka vsebnost beljakovin', 'brez glutena in laktoze', 'dodatek čaju, soku in jedem']"
Magnezijev bisglicinat,Zechsal,40 g,10.99 €,,,"['podpora kostem in mišicam', 'manj utrujenosti', 'v obliki praška za napitek']"
Veganski EAA,ProFuel,240 kapsul,27.99 €,,,"['8000 mg aminokislin na dan', '8 esencialnih aminokislin', 'primerno za športnike']"
Sojini proteini – čokolada,AllNutrition,500 g,14.99 €,17.99 €,-17%,"['za mišice', 'brez dodanega sladkorja', 'za okusen proteinski shake']"
3x Magnezijev citrat Forte + vitamin B6,Purely Nutrition,skupaj 180 kapsul,22.79 €,29.97 €,-24%,"['za živčni sistem', 'delovanje mišic', 'več energije']"
"Opornica za gleženj, velikost S",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo gležnju', 'pralna']"
L-karnitin + holin,Raab Vitalfood,75 kapsul,19.99 €,,,"['odlična kombinacija', 'izjemno čist L-karnitin', 'za presnovo\xa0maščob']"
Konopljin balzam – hladni,Virde,200 ml,6.99 €,,,"['hladilni učinek', 'za utrujene noge', 'idealna uporaba po vadbi']"
L-Carni napitek z zelenim čajem,AllNutrition,80 ml,1.49 €,,,"['L-karnitin + selen + cink', 'podpora presnove makrohranil', 'z okusom belega grozdja']"
HMB-HD 1000 mg,Genius Nutrition,90 kapsul,16.99 €,,,"['za športnike', 'podpora ob telesnih naporih', '1000 mg v dveh kapsulah']"
BIO Chia proteini,Dragon Superfoods,200 g,8.99 €,,,"['visoka vsebnost beljakovin', 'vsestranska uporaba', 'vegansko']"
BCAA + vitamin B6,QNT,100 kapsul,7.99 €,21.99 €,-64%,"['zmanjšanje utrujenosti', 'levcin, izolevcin, valin', 'za športno aktivne']"
"Kineziološki trak - črn, 5cm x 5m",WUNDmed,1 kos,7.49 €,,,"['vrhunska kvaliteta', 'koži prijazen', 'za športnike']"
3x Active FatBurn,Purely Nutrition,skupaj 360 kapsul,38.99 €,59.97 €,-35%,"['presnova makrohranil', '10 aktivnih sestavin', 'izvlečki guarane, čilija in zelenega čaja']"
Zelena kava,Sanct Bernhard,120 kapsul,21.99 €,24.99 €,-12%,"['s kromom', 'krvni sladkor', 'boljša presnova']"
3x Kompleks elektrolitov,HealthyWorld®,skupaj 540 tablet,38.99 €,59.97 €,-35%,"['5 mineralov', 'podpora hidracije', 'veliko pakiranje']"
ARTHRO Support - vezivno tkivo,NewFood,60 kapsul,31.49 €,,,"['900 mg glukozamina na 2 kapsuli', 'glukozamin + hondroitin + mangan', 'za kosti in vezivno tkivo']"
Glukozamin-hondroitin,Sanct Bernhard,30 vrečk,15.99 €,,,"['z mineralom manganom', 'priročno pakiranje', 'kosti in hrustanec']"
3x L-glutamin – prah za pripravo napitka,OnEnergy,skupaj 1500 g,41.99 €,59.97 €,-30%,"['aminokislina', 'za fizično aktivne', 'za po treningu']"
3x Turkesteron 1200 mg,HealthyWorld®,skupaj 270 kapsul,68.99 €,89.97 €,-23%,"['iz izvlečkaAjuga Turkestanica', '1200 mg v 2 kapsulah', 'standardiziran na 10 %']"
Day Burner,QNT,90 kapsul,11.99 €,22.99 €,-48%,"['z izvlečkom čilija', 'aktivira presnovo maščob', 'uravnavanje telesne teže']"
StructuActiv – hondroitin,ActivLab,60 kapsul,7.99 €,,,"['podpora kostem in vezivnim tkivom', '750 mg hondroitina v 2 kapsulah', 'vzdrževanje hrustanca']"
BCAA Matrix 4800 mg,QNT,200 tablet,9.99 €,24.99 €,-60%,"['4800 mg v dnevnem odmerku', 'hitra absorpcija', 'ustvarjeno za športnike']"
3x Magnezij + Kalcijev L-Treonat,HealthyWorld®,skupaj 720 kapsul,53.99 €,74.97 €,-28%,"['za mišice + živčni sistem', 'zmanjševanje utrujenosti in izčrpanosti', 'z 2 oblikama magnezija']"
Kreatin – malina in jagoda,AllNutrition,500 g,23.99 €,,,"['za fizično aktivne', 's sladilom sukraloza', 'telesna zmogljivost']"
Kalcijev in magnezijev citrat,NewFood,90 žvečljivih tablet,15.99 €,,,"['popolna kombinacija', 'z dodanima vitaminoma K2 in D3', 'kosti + zobje + mišice']"
"Citrulin malat, okus tropsko sadje",AllNutrition,200 g,17.99 €,,,"['enostavno doziranje', '5000 mg citrulin malata na porcijo', 'za športnike']"
V-Protein 4K veganski proteini – vanilijev sladoled,ProFuel,750 g,22.49 €,,,"['mešanica 4 rastlinskih proteinov', 'visoka vsebnost beljakovin', 'brez\xa0laktoze']"
Guarana - izvleček,Vita World,120 kapsul,16.49 €,,,"['dolgotrajnejši učinek', 'rastlinski izvleček', 'vsebuje kofein']"
Kreatin + magnezij,Sanct Bernhard,200 kapsul,16.49 €,,,"['odlično dopolnilo za starejše', 'za vzdržljivost', 'podpora mišicam']"
3x Črna maca kompleks 24.000 mg,OnEnergy,skupaj 720 kapsul,41.99 €,59.97 €,-30%,"['z dodanim L-argininom in cinkom', '1200 mg izvlečka 20:1 v 3 kapsulah', 'podpora zmogljivosti']"
"Opornica za komolec, velikost L",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo komolcu', 'pralna']"
Izotonični napitek z okusom grenivke,AllNutrition,700 g,10.99 €,,,"['z izvlečkom ginsenga', 'vnos elektrolitov', 's sladilom']"
Vražji (hudičev) krempelj balzam,Sanct Bernhard,25 ml,2.99 €,,,"['blagodejni učinki', 'nega kože', 'hitro učinkovanje']"
"Opornica za gleženj, velikost M",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo gležnju', 'lahko se opere']"
3x Magnezijev citrat 444 mg,OnEnergy,skupaj 720 kapsul,44.99 €,68.97 €,-35%,"['podpora mišicam in živčnemu sistemu', '444 mg magnezija v 2 kapsulah', 'boljša absorpcija']"
WHEY proteini iz sirotke – čokolada in oreh,AllNutrition,908 g,24.99 €,32.99 €,-24%,"['povečanje mišične mase - visoka vsebnost beljakovin', 'za okusen proteinski shake', 'znižano zaradi roka uporabe']"
Črna maca v prahu - BIO,Dragon Superfoods,100 g,6.99 €,,,"['koren mace v prahu', 'podpora spolnosti', 'iz ekološke proizvodnje']"
iCarnitine – L-karnitin kompleks,Genius Nutrition,90 kapsul,21.99 €,,,"['edinstvena in učinkovita formula', 'z dodanimi vitamini C, B6 in B12', 'L-karnitin + zeleni čaj + malinovi ketoni']"
Power shot napitek s kofeinom in tavrinom,AllNutrition,80 ml,1.49 €,,,"['za pred vadbo', 'za športnike', 'okus ananasa']"
BIO Konopljini proteini,FutuNatura,500 g,13.49 €,14.49 €,-7%,"['\u200brastlinski vir\xa0beljakovin', 'iz ekološke pridelave', 'obogatitev prehrane']"
Chilli FatBurn,FutuNatura,30 kapsul,14.99 €,16.99 €,-12%,"['Capsicum anuum', 'hujšanje in dieta', 's čilijem in zelenim čajem']"
Kromov pikolinat 250µg,Zein Pharma,120 kapsul,14.49 €,15.49 €,-6%,"['hitra absorpcija', 'uravnavanje glukoze', 'urejena presnova']"
Krom Active,FutuNatura,30 kapsul,8.99 €,,,"['z izvlečkom zelenega čaja', 'normalni krvni sladkor', 'pri utrujenosti in izčrpanosti']"
Črna maca kompleks 5550 mg,WeightWorld,180 kapsul,18.99 €,23.49 €,-19%,"['podpora spolnosti', 'podpira vitalnost in telesno zmogljivost', '5550 mg izvlečkov v 1 kapsuli']"
Veganski izolat sojinih beljakovin – čokolada,OnEnergy,1000 g,19.99 €,24.99 €,-20%,"['povečanje mišične mase', '105\xa0kcal in 0 g sladkorjev', 'visoka vsebnost beljakovin']"
3x Magnezijev citrat DIRECT – napitek,FutuNatura,skupaj 60 napitkov,17.99 €,26.97 €,-33%,"['125 mg magnezija v vsakem napitku', 'delovanje mišic in dvig energije', 'z aromo manga in pomaranče']"
BCAA 2:1:1 Mega 700 mg,OnEnergy,400 kapsul,19.99 €,24.99 €,-20%,"['5600 mg BCAA na dan', 'za športnike in aktivne', 'levcin +\xa0izolevcin + valin']"
3x Magnezij + vitamin B6 – šumeče tablete,Purely Nutrition,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['z dodanim vitaminom B6', 'podpora mišic in živčnega sistema', 'hitra in enostavna priprava']"
3x Elektroliti v prahu – limeta,OnEnergy,skupaj 1500 g,35.99 €,50.97 €,-29%,"['Cl + Na + K + Ca + P + Mg', 'enostavna priprava', 'super za hidracijo']"
Pre-Workout – prah za pripravo napitka,OnEnergy,310 g,19.99 €,24.99 €,-20%,"['ustvarjeno za športnike', 'za koncentracijo in vzdržljivost', 'kofein, aminokisline in vitamini']"
Shaker – 500 ml,OnEnergy,1 kos,3.99 €,5.99 €,-33%,"['odličen za športnike', 'praktičen za uporabo', 'za različne napitke']"
Rožni koren ali Rhodiola,FutuNatura,60 tablet,16.49 €,18.99 €,-13%,"['podpora telesu', 'živčni sistem', 'fizično počutje']"
L-karnozin 1000 mg,OnEnergy,120 kapsul,24.99 €,29.99 €,-17%,"['1000 mg v 2 kapsulah', 'za športnike, starejše …', 'visoka biorazpoložljivost']"
Acetil-​L-​karnitin 500 mg,Zein Pharma,60 kapsul,17.49 €,19.99 €,-13%,"['500 mg ALC na 1 kapsulo', 'acetilirana oblika', 'odlična absorpcija']"
Veganski izolat sojinih beljakovin – lešnik,OnEnergy,1000 g,19.99 €,24.99 €,-20%,"['povečanje mišične mase', '105\xa0kcal in 0 g sladkorjev', 'visoka vsebnost beljakovin']"
"Opornica za koleno, velikost XL",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo kolenu', 'pralna']"
Konjski balzam - topli,WUNDmed,500 ml,10.99 €,,,"['z rastlinskimi izvlečki', 'hitra absorpcija', 'super izbira za športnike']"
3x Koencim Q10 100 mg,OnEnergy,skupaj 180 kapsul,26.99 €,38.97 €,-31%,"['“koencim mladosti”', '100 mg v 1 kapsuli', 'za športnike in starejše']"
"Magnezij shot – napitek, okus gozdni sadeži",Genius Nutrition,80 ml,1.99 €,,,"['kalij + vitamin B6', 'za športnike', 'dvig energije']"
3x L-arginin HCL 4500 mg,Erefit®,skupaj 1095 kapsul,53.99 €,80.97 €,-33%,"['aminokislina', 'visoka vsebnost', '4500 mg v 6 kapsulah']"
MCM gel,Zechsal,100 ml,17.99 €,,,"['15 % čistega magnezija', 'za sproščujočo masažo', 'vsebuje OptiMSM, hondroitin in ingver']"
"WHEY Delicious, proteini iz sirotke – karamela",AllNutrition,700 g,23.99 €,29.99 €,-20%,"['visoka vsebnostjo beljakovin', 'brez dodanega sladkorja', 'za okusen proteinski shake']"
Izotonični napitek – limeta,Raab Vitalfood,600 g,18.99 €,,,"['prah za pripravo napitka', 'vitamin C, minerali, elektorliti', 'hidracija, mišice, vzdržljivost']"
3x HMB 2150 mg – prah za pripravo napitka,OnEnergy,skupaj 600 g,56.99 €,74.97 €,-24%,"['za športnike', 'z vitaminom B6', 'nevtralnega okusa']"
Kofein,Genius Nutrition,90 tablet,9.99 €,10.99 €,-9%,"['učinkovita absorpcija', 'visok dnevni odmerek', 'za fizično aktivne']"
Rožni koren,Zein Pharma,90 kapsul,34.49 €,,,"['300 mg izvlečka na kapsulo', 'Rhodiola rosea', 'podpora živčnega sistema']"
"Kineziološki trak - rumen, 5cm x 5m",WUNDmed,1 kos,7.49 €,,,"['vrhunska kvaliteta', 'koži prijazen', 'za športnike']"
Kompleks za energijo,Granions Laboratoire,45 tablet,21.99 €,,,"['rastlinski izvlečki', 'za utrujenost in izčrpanost', 's kofeinom']"
Veganski Alphaminos BCAA 2:1:1 – češnja,ProFuel,300 g,25.99 €,,,"['za več energije', 's sladilom sukraloza', 'kompleks 3 aminokislin']"
3x L-treonin 1500 mg,OnEnergy,skupaj 360 kapsul,26.99 €,38.97 €,-31%,"['esencialna aminokislina', 'visoka vsebnost', '1500 mg v 3 kapsulah']"
3x BCAA 2:1:1 – limona-limeta,OnEnergy,skupaj 1500 g,53.99 €,74.97 €,-28%,"['prah za pripravo napitka', 'za pred in po vadbi', 'levcin +\xa0izolevcin + valin']"
"3x EAA  v prahu – ananas, limona, pomaranča",OnEnergy,skupaj 1500 g,71.99 €,89.97 €,-20%,"['7 esencialnih aminokislin', 'prah za pripravo napitka', 's priloženo merilno žličko']"
Vitko poletje: 1x Zelena kava + 1x L-karnitin,FutuNatura,komplet,28.49 €,31.98 €,-11%,"['odlična kombinacija', 'super izbira za aktivne osebe', 'podpora pri uravnavanju telesne teže']"
3x Magnezijev oksid 400 mg,HealthyWorld®,skupaj 1095 kapsul,53.99 €,74.97 €,-28%,"['za mišice in živčni sistem', 'proti utrujenosti', '400 mg na 1 kapsulo']"
Kreatin monohidrat 2000 mg,Genius Nutrition,60 kapsul,15.99 €,,,"['za fizično aktivne', 'brez glutena in laktoze', '2000 mg v 2 kapsulah']"
3x L-karnozin 1000 mg,OnEnergy,skupaj 360 kapsul,68.99 €,89.97 €,-23%,"['1000 mg v 2 kapsulah', 'za športnike, starejše …', 'visoka biorazpoložljivost']"
Cuts 4 All – kompleks z zelenim čajem in piperinom,AllNutrition,120 tablet,27.99 €,,,"['inozitol + holin + l-karnitin', '5 rastlinskih izvlečkov', 'presnova makrohranil']"
3x L-tirozin,OnEnergy,skupaj 1500 g,50.99 €,59.97 €,-15%,"['aminokislina v prahu', 'nevtralnega okusa', 'visoka koncentracija']"
Magnezijev gel z aloe vero in MSM,Heiltropfen,200 ml,14.99 €,,,"['za topično uporabo', 'Intenzivno delovanje', '99 % naravna sestava']"
Chilli Active,Virde,90 tablet,21.99 €,,,"['z rastlinskimi izvlečki', 'uravnavanje telesne teže', 'z rastlinskimi izvlečki']"
Zelena kava,AllNutrition,90 kapsul,16.49 €,18.99 €,-13%,"['Coffea arabica', 'visok delež klorogenske kisline', '500 mg izvlečka na 1 kapsulo']"
Glukomanan kompleks,NewFood,60 kapsul,21.49 €,,,"['dodatek dietam', 'holin in krom', 'z rastlinskimi izvlečki']"
L-Karnozin 500 mg,Zein Pharma,60 kapsul,27.49 €,,,"['optimalni odmerek', 'aminokislina', 'za starejše']"
Glukozamin + Mangan - 500 mg,Zein Pharma,90 kapsul,17.99 €,19.99 €,-10%,"['kosti in vezivno tkivo', 'z dodanim manganom', 'super absorpcija']"
V-Protein Classic veganski proteini – jagoda,ProFuel,1000 g,29.99 €,,,"['izolat grahovih proteinov', 'visoka vsebnost beljakovin', 'brez laktoze']"
Vegain Max veganski protein mix – čokolada in lešnik,ProFuel,3000 g,44.99 €,,,"['kompleksni ogljikovi hidrati', 'mešanica 3 rastlinskih proteinov', 'po vadbi']"
"Opornica za koleno, velikost S",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo kolenu', 'pralna']"
"Športni bandažni trak, 5m x 3.8cm",WUNDmed,1 kos,3.99 €,,,"['medicinski pripomoček', 'za podporo in stabilnost sklepov', 'na voljo v\xa04 različnih barvah']"
3x Whey proteini iz sirotke – čokolada,OnEnergy,skupaj 3000 g,83.99 €,98.97 €,-15%,"['osnovni gradniki mišic', 'samo 112 kcal na porcijo', 'visoka vsebnost beljakovin']"
3x AAKG Extreme 1400 mg MEGA CAPS,OnEnergy,skupaj 360 kapsul,35.99 €,50.97 €,-29%,"['L-arginin alfa-ketoglutarat', 'za učinkovit trening', '1400 mg na 2 kapsuli']"
