Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
3x ALA – alfa lipoična kislina 600 mg,OnEnergy,skupaj 360 kapsul,53.99 €,74.97 €,-28%,"['600 mg ALA v dnevnem odmerku', 'za športnike in fizično aktivne', 'pretvarja hranila v energijo']"
3x Magnezijev klorid v prahu,FutuNatura,skupaj 3000 g,35.99 €,44.97 €,-20%,"['različni načini uporabe', 'dobro topen v vodi', 'MgCl2+ 6H2O']"
3x Koren Suma v prahu,FutuNatura,skupaj 300 g,26.99 €,38.97 €,-31%,"['Pfaffia paniculataali brazilski ginseng', 'visoka vsebnost vlaknin', 'za športnike, pare']"
3x Veganski izolat sojinih beljakovin – lešnik,OnEnergy,skupaj 3000 g,53.99 €,74.97 €,-28%,"['povečanje mišične mase', '105\xa0kcal in 0 g sladkorjev', 'visoka vsebnost beljakovin']"
BIO Guarana 2000 mg,Diet Food,145 kapsul,17.99 €,,,"['Paullinia cupana', 'kavi podoben učinek', '2000 mg v 4 kapsulah']"
3x Forskolin – iz izvlečka indijske koprive 20 mg,HealthyWorld®,skupaj 180 kapsul,38.99 €,59.97 €,-35%,"['Coleus forskohlii', '2 mg čistega forskolina na\xa0kapsulo', 'podpora telesa med hujšanjem']"
L-​Ornitin 500 mg,Zein Pharma,120 kapsul,21.99 €,,,"['aminokislina', 'za športnike', 'pridobljen s fermentacijo']"
"Flex podpora sklepom, okus ananas",AllNutrition,400 g,25.49 €,,,"['hidroliziran kolagen', '7 aktivnih učinkovin', 'zadostuje za 20 napitkov']"
Koencim Q10 100 mg,OnEnergy,60 kapsul,9.99 €,12.99 €,-23%,"['“koencim mladosti”', '100 mg v 1 kapsuli', 'za športnike in starejše']"
Magnezij – šumeče tablete,HealthyWorld®,20 šumečih tablet,1.99 €,2.49 €,-20%,"['zmanjševanje utrujenosti, mišice, kosti', 'hitra\xa0in enostavna priprava', 'z okusom limone']"
Magnezijev taurat 2000 mg,HealthyWorld®,120 kapsul,14.99 €,19.99 €,-25%,"['mišice in\xa0živčni sistem', 'dvig energije', '2000 mg magnezijevega taurata na 4\xa0kapsule']"
L-Teanin 400 mg,HealthyWorld®,180 kapsul,22.99 €,24.99 €,-8%,"['iz zelenega čaja', '400 mg v 1 kapsuli', 'učinkovita aminokislina']"
Epsomska sol,FutuNatura,1000 g,6.99 €,7.99 €,-13%,"['magnezijev sulfat', 'grenka sol', 'vsestranska uporaba']"
Magnezijev citrat DIRECT – napitek,FutuNatura,20 napitkov,6.99 €,8.99 €,-22%,"['125 mg magnezija v vsakem napitku', 'delovanje mišic in dvig energije', 'z aromo manga in pomaranče']"
HYDRO Energijski gel z elektroliti – limeta,Vitaldin Sport,55 ml,1.19 €,,,"['hiter vir energije', 'z minerali in \xa0vitaminom B6', 'enostavno uživanje brez vode']"
Elektroliti – prah za pripravo napitka,OnEnergy,20 vrečk,7.99 €,9.99 €,-20%,"['podpora hidracije', 'minerali + vitamin B6', 'okus limone in limete']"
Elektroliti – šumeče tablete,OnEnergy,20 šumečih tablet,1.99 €,2.49 €,-20%,"['podpora hidracije', 'natrij + kalij + klorid', 'enostavna priprava napitka']"
3x Magnezij DIRECT 400 mg,FutuNatura,skupaj 90 vrečk,14.99 €,20.97 €,-29%,"['400 mg magnezija na vrečko', 'za mišice\xa0in živčni sistem', 'z aromo pomaranče']"
NightTime FatBurn,Purely Nutrition,120 kapsul,14.99 €,19.99 €,-25%,"['5 aktivnih sestavin', 'Neopuntia™, L-karnitin in baldrijan', 'podpora energijskemu metabolizmu']"
Kreatin monohidrat 3000 mg,HealthyWorld®,180 tablet,14.99 €,19.99 €,-25%,"['3000 mg v 3 tabletah', 'telesna zmogljivost', 'več energije']"
Energijski gel brez kofeina – jagoda & banana,Vitaldin Sport,40 g,0.99 €,,,"['25 g OH na 1 vrečko', 'za hitro in dolgotrajno\xa0energijo', 'z vitaminom B6']"
Energy – Gumiji za dvig energije,HealthyWorld®,90 gumi bonbonov,9.99 €,12.99 €,-23%,"['več energije, manj utrujenosti', 's kofeinom in tavrinom', 'okus češnje']"
L-citrulin 3000 mg,HealthyWorld®,240 kapsul,16.99 €,22.99 €,-26%,"['aminokislina', 'nastajanje dušikovega oskida', '3000 mg v 4 kapsulah']"
Magnezijev citrat 234 mg,HealthyWorld®,240 kapsul,17.99 €,20.99 €,-14%,"['proti utrujenosti', '234 mg magnezija na kapsulo', 'za energijo in delovanje mišic']"
MCT C8:C10 Kokosovo Premium olje,FutuNatura,500 ml,13.99 €,19.99 €,-30%,"['100 % iz kokosa', '59 % C8, 40 % C10', 'brez konzervansov']"
Energijski gel s kofeinom – jagodičevje,Vitaldin Sport,40 g,0.99 €,,,"['25 g OH na 1 vrečko', 'za hitro in dolgotrajno\xa0energijo', 'z vitaminom B6']"
Magnezij 165 mg,HealthyWorld®,90 gumi bonbonov,14.99 €,19.99 €,-25%,"['za mišice + živčni sistem', '2 obliki magnezija', 'okus citrusov']"
Magnezij + vitamin B6 – šumeče tablete,OnEnergy,20 šumečih tablet,1.99 €,2.49 €,-20%,"['podpora mišic in živčnega sistema', 'okus limone', 'hitra in enostavna priprava']"
3x Magnezijev taurat 2000 mg,HealthyWorld®,skupaj 360 kapsul,41.99 €,59.97 €,-30%,"['mišice in\xa0živčni sistem', 'dvig energije', '2000 mg magnezijevega taurata na 4\xa0kapsule']"
Kompleks elektrolitov,WeightWorld,180 tablet,16.99 €,17.99 €,-6%,"['hidracija', 'Mg + Ca + K + Na +\xa0Cl-', 'veliko pakiranje']"
"3x Glukozamin, hondroitin, MSM in hialuronska kislina",Purely Nutrition,skupaj 360 kapsul,53.99 €,74.97 €,-28%,"['sklepi, vezivno tkivo in hrustanec', 'optimalno razmerje med sestavinami', 'za starejše in športnike']"
Proteinska ploščica – jagoda,QNT,65 g,1.99 €,2.99 €,-33%,"['z nizko vsebnostjo sladkorja', 'visoka vsebnost beljakovin', 'okusen in hranilen prigrizek']"
3x Črna maca kompleks 5000 mg,HealthyWorld®,skupaj 540 kapsul,38.99 €,59.97 €,-35%,"['rastlinski izvleček', '5000 mg v 1 kapsuli', 'podpora spolnosti']"
3x Elektroliti – prah za pripravo napitka,HealthyWorld®,skupaj 60 vrečk,20.99 €,29.97 €,-30%,"['podpora hidracije', 'z dodanim cinkom + B6', 'okus limone in limete']"
VeePro veganska proteinska ploščica – kokos,ProFuel,1 ploščica,2.69 €,,,"['brez glutena', 'prijeten okus kokosa', 's sladilom stevia glikozid']"
Kalij - energijski napitek,Sanct Bernhard,30 vrečk,10.99 €,12.49 €,-12%,"['enostavna uporaba', 'delovanje mišic', 'krvni tlak']"
Magnezijev glicinat – bisglicinat,Vita World,120 kapsul,21.99 €,,,"['odlična absorpcija', 'podpora mišicam', 'proti utrujenosti']"
Črna maca kompleks,Viaman,180 kapsul,19.99 €,23.49 €,-15%,"['z ginsengom in argininom', 'koren mace', 'podpora spolnosti']"
Isoactive izotonični napitek – lubenica,ActivLab,"20 x 31,5 g",8.99 €,,,"['vrečke s prahom za pripravo napitka', 'z izvlečkom mace', 'za fizično aktivne']"
"Želatina ""gold extra"" v prahu",Sanct Bernhard,525 g,20.99 €,23.49 €,-11%,"['enostavno odmerjanje', '90 % kolagen hidrolizat', 'odlična absorpcija']"
3x MCT C8:C10 Kokosovo Premium olje,FutuNatura,skupaj 1500 ml,38.99 €,59.97 €,-35%,"['100 % iz kokosa', '59\xa0% C8, 40 % C10', 'brez konzervansov']"
L-karnitin 2000 mg – ledeni čaj,QNT,700 ml,1.99 €,,,"['osvežilen okus', 'za športnike in aktivne', '0 kcal in brez sladkorja']"
Liposomski turkesteron 10 %,OnEnergy,90 kapsul,19.99 €,24.99 €,-20%,"['iz izvlečkaAjuga turkestanica', 'standardiziran na 10 %', 'podaljšano sproščanje']"
Magnezij v kapljicah,Zechsal,30 ml,14.49 €,,,"['primeren tudi za otroke', 'energija, mišice in živčni sistem', 'enostavno doziranje']"
L-arginin HCL 4500 mg,Erefit®,365 kapsul,19.99 €,26.99 €,-26%,"['aminokislina', 'visoka vsebnost', '4500 mg v 6 kapsulah']"
Indijska kopriva - Forskolin,FutuNatura,60 kapsul,16.49 €,,,"['rastlinski izvleček', 'uravnavanje telesne teže', 'presnova maščob']"
GABA 1000 mg,Vita World,120 tablet,32.99 €,,,"['visoka vsebnost', 'neesencialna aminokislina', 'zaviralni nevrotransmiter']"
L-karnitin 2000 mg – limona/limeta,QNT,700 ml,1.99 €,,,"['osvežilen okus', 'za športnike in aktivne', '0 kcal in brez sladkorja']"
Indijska kopriva - Forskolin,FutuNatura,60 kapsul,16.49 €,,,"['rastlinski izvleček', 'uravnavanje telesne teže', 'presnova maščob']"
Beta-alanin 4000 mg,OnEnergy,60 kapsul,5.99 €,7.99 €,-25%,"['aminokislina za športnike', 'visoka vsebnost', '4000 mg na 5 kapsul']"
3x 100 % kreatin monohidrat v prahu,OnEnergy,skupaj 1500 g,53.99 €,74.97 €,-28%,"['mikronizirana oblika', 'telesna zmogljivost', 'odlična topnost v vodi']"
AAKG Extreme 1400 mg MEGA CAPS,OnEnergy,120 kapsul,12.99 €,16.99 €,-24%,"['L-arginin alfa-ketoglutarat', 'za učinkovit trening', '1400 mg na 2 kapsuli']"
BIO Proteinska granola – arašid in kakav,Smart Organic,300 g,5.49 €,,,"['vegansko', 'brez glutena', 'visok delež beljakovin']"
Extreme podpora za moške,AllNutrition,120 kapsul,21.99 €,,,"['kompleks naravnih učinkovin', 'spolnost in energija', 'ustvarjeno za moške']"
Kolagen tipa II 250 mg,Bioherba,100 kapsul,21.99 €,,,"['za kosti, kožo in lase', '100 % naravno', 'iz piščančjega hrustanca']"
Slim Active kompleks,FutuNatura,120 kapsul,19.99 €,21.99 €,-9%,"['telesna teža', 'edinstvena kombinacija', 'podpora presnovi']"
Tavrin,AllNutrition,250 g,8.99 €,,,"['za pripravo napitka', 'za športnike', 'za 83 napitkov']"
3x Night FatBurn,OnEnergy,skupaj 360 kapsul,41.99 €,59.97 €,-30%,"['nadzor telesne teže', 'zmanjšanje apetita', 'Garcinia cambogia']"
Epsomska sol,NatVita,1200 g,7.99 €,,,"['magnezijev sulfat', 'grenka sol', 'vsestranska uporaba']"
Veganski kreatin monohidrat,ProFuel,500 g,27.99 €,,,"['več energije', 'pred treningom', 'telesna zmogljivost']"
L-Teanin 250 mg,Zein Pharma,90 kapsul,19.49 €,19.99 €,-3%,"['vsebnost polifenolov', 'naravna podpora', 'izvleček zelenega čaja']"
Magnezijevo olje v spreju,Heiltropfen,237 ml,17.99 €,18.99 €,-5%,"['z magnezijem izjemne kvalitete', 'enostavna in praktična uporaba', 'za do 1600 razpršitev']"
Novozelandska zelenousta školjka,Sanct Bernhard,300 kapsul,29.99 €,,,"['500 mg čistega koncentrata', 'naravni glukozaminoglikani', 'Perna canaliculus']"
Magnezijev L-treonat,ProFuel,120 kapsul,39.99 €,,,"['2000 mg magnezijevega L-treonata', 'podpora živčnemu sistemu', 'za energijo in delovanje mišic']"
Magnezijev klorid,Heiltropfen,454 g,14.99 €,,,"['ena izmed oblik magnezija', 'mineral v prahu', 'za pripravo napitka ali olja']"
Magnezijev oksid,Nature Love,90 kapsul,10.99 €,,,"['400 mg magnezija na kapsulo', 'za več energije', '100 % vegansko']"
ARTHRO Support Gel – masažni gel za sklepe,NewFood,200 ml,12.99 €,,,"['aromatičen vonj', 'sproščujoč učinek', 'za masažo kože']"
Magnezijev citrat v prahu,Raab Vitalfood,340 g,17.99 €,,,"['za pripravo napitka', 'proti utrujenosti', 'odlična absorpcija']"
L-lizin 1000 mg,HealthyWorld®,400 kapsul,16.99 €,19.99 €,-15%,"['hidrokloridna oblika', 'esencialna aminokislina', 's cinkom za imunski sistem']"
MCT C8:C10 Kokosovo Premium olje,OnEnergy,500 ml,13.99 €,19.99 €,-30%,"['brez dodanih konzervansov', '60 % kaprilne in 39 % kaprinske kisline', 'za nego, kuhanje in samostojno uporabo']"
L-arginin + L-citrulin kompleks 3000 mg,OnEnergy,250 kapsul,19.99 €,24.99 €,-20%,"['2 aminokislini', 'optimalno razmerje', '3000 mg v 5 kapsulah']"
Trimagnezij kompleks 2250 mg,OnEnergy,180 kapsul,14.99 €,18.99 €,-21%,"['2250 mg v 3 kapsulah', 'živčevje + kosti + mišice', 'zmanjševanje utrujenosti']"
Črna maca kompleks 24.000 mg,OnEnergy,240 kapsul,14.99 €,19.99 €,-25%,"['z dodanim L-argininom in cinkom', '1200 mg izvlečka 20:1 v 3 kapsulah', 'podpora zmogljivosti']"
Glukozamin + hondroitin,HealthyWorld®,180 kapsul,19.99 €,22.99 €,-13%,"['z vitaminom C', 'za nastajanje kolagena', 'vezivno tkivo in hrustanec']"
ALA – alfa lipoična kislina 650 mg,HealthyWorld®,180 kapsul,22.99 €,26.99 €,-15%,"['650 mg ALA v dnevnem odmerku', 'pretvarja hranila v energijo', 'za aktivne posameznike']"
L-lizin 1000 mg,OnEnergy,365 kapsul,14.99 €,19.99 €,-25%,"['aminokislina', 'odlična absoprcija in uporaba', '1000 mg na 2 kapsuli']"
ALA – alfa lipoična kislina 600 mg,OnEnergy,120 kapsul,19.99 €,24.99 €,-20%,"['600 mg ALA v dnevnem odmerku', 'za športnike in fizično aktivne', 'pretvarja hranila v energijo']"
Magnezijev kompleks,Nature Love,90 kapsul,13.99 €,,,"['odlična absorpcija', '5 oblik magnezija', '100 % vegansko']"
Glukozamin + hondroitin 1400 mg,OnEnergy,360 kapsul,24.99 €,29.99 €,-17%,"['z vitaminom C', 'za nastajanje kolagena', 'vezivno tkivo in hrustanec']"
L-karnitin 1000 mg,OnEnergy,180 kapsul,19.99 €,24.99 €,-20%,"['za aktivne osebe', 'visoka vsebnost', '1000 mg na 2 kapsuli']"
3x Elektroliti – šumeče tablete,OnEnergy,skupaj 60 šumečih tablet,5.39 €,7.47 €,-28%,"['podpora hidracije', 'natrij + kalij + klorid', 'enostavna priprava napitka']"
CLA 3000 mg – konjugirana linolna kislina,HealthyWorld®,180 mehkih kapsul,14.99 €,19.99 €,-25%,"['iz olja žafranike', '3000 mg CLA v 3 kapsulah', 'za aktivne posameznike']"
L-arginin HCL 4500 mg,HealthyWorld®,365 kapsul,19.99 €,22.99 €,-13%,"['aminokislina', '4500 mg v 6 kapsulah', 'biološko aktivna oblika']"
Kreatin monohidrat 3000 mg GIGA CAPS,OnEnergy,400 kapsul,19.99 €,24.99 €,-20%,"['visok dnevni odmerek', '3000 mg v 4 kapsulah', 'telesna zmogljivost']"
ZM6 – Magnezij s cinkom,OnEnergy,180 kapsul,14.99 €,19.99 €,-25%,"['z vitamini B-kompleksa', 'živčevje + mišice + odpornost', 'zmanjševanje utrujenosti']"
Kreatin monohidrat 3000 mg,OnEnergy,240 kapsul,14.99 €,19.99 €,-25%,"['za fizično aktivne', '3000 mg v 4 kapsulah', 'telesna zmogljivost']"
L-tirozin 1000 mg (na dnevni odmerek),HealthyWorld®,365 kapsul,19.99 €,24.99 €,-20%,"['1000 mg v 2 kapsulah', 'z vitaminoma B3 in B12', 'energija, živci, psihološko delovanje']"
3x Testosterole Extreme,FutuNatura,skupaj 90 kapsul,16.49 €,23.97 €,-31%,"['vsebuje sojine fitosterole', 'z rastlinskimi izvlečki', 'za vzdržljivost in moč']"
BIO Guarana 2000 mg,Diet Food,145 kapsul,17.99 €,,,"['Paullinia cupana', 'kavi podoben učinek', '2000 mg v 4 kapsulah']"
3x Forskolin – iz izvlečka indijske koprive 20 mg,HealthyWorld®,skupaj 180 kapsul,38.99 €,59.97 €,-35%,"['Coleus forskohlii', '2 mg čistega forskolina na\xa0kapsulo', 'podpora telesa med hujšanjem']"
3x AAKG Extreme 1400 mg MEGA CAPS,OnEnergy,skupaj 360 kapsul,35.99 €,50.97 €,-29%,"['L-arginin alfa-ketoglutarat', 'za učinkovit trening', '1400 mg na 2 kapsuli']"
3x ALA – alfa lipoična kislina 600 mg,OnEnergy,skupaj 360 kapsul,53.99 €,74.97 €,-28%,"['600 mg ALA v dnevnem odmerku', 'za športnike in fizično aktivne', 'pretvarja hranila v energijo']"
3x Magnezijev klorid v prahu,FutuNatura,skupaj 3000 g,35.99 €,44.97 €,-20%,"['različni načini uporabe', 'dobro topen v vodi', 'MgCl2+ 6H2O']"
3x BCAA 2:1:1 Mega 700 mg,OnEnergy,skupaj 1200 kapsul,53.99 €,74.97 €,-28%,"['5600 mg BCAA na dan', 'za športnike in aktivne', 'levcin +\xa0izolevcin + valin']"
TunnelBlick PUMP veganski kompleks aminokislin – ledeni čaj breskev,ProFuel,440 g,29.99 €,,,"['magnezij + B3 + B5', 'aminokisline', 'za pred vadbo']"
3x Liposomski turkesteron 10 %,OnEnergy,skupaj 270 kapsul,53.99 €,74.97 €,-28%,"['iz izvlečkaAjuga turkestanica', 'standardiziran na 10 %', 'podaljšano sproščanje']"
L-karnitin 1000 mg,QNT,90 tablet,19.99 €,,,"['1000 mg l-karnitina v 1 tableti', 'ustvarjen za športnike', 'odlična absorpcija']"
3x Whey proteini iz sirotke – vanilja,OnEnergy,skupaj 3000 g,83.99 €,98.97 €,-15%,"['osnovni gradniki mišic', 'samo 114 kcal na porcijo', 'visoka vsebnost beljakovin']"
BIO Sadne kocke Activity – z beljakovinami,Diet Food,120 g,3.99 €,,,"['okusen prigrizek', 'za aktivne', 'z baobabom in kokosom']"
BIO Bučne beljakovine,Raab Vitalfood,500 g,14.99 €,,,"['visoka vsebnost beljakovin', 'veganska sestava', '60 % proteinov']"
Magnezijev glicinat,Focus Supplements,90 kapsul,16.49 €,16.99 €,-3%,"['pomemben mineral', 'bioaktivna oblika magnezija', 'kosti, mišice, energija']"
PowerRose Pre-workout,AllNutrition,450 g,36.99 €,39.99 €,-8%,"['za energijo', 'okus tropske pomaranče', 's sladili']"
V-Protein Classic veganski proteini – čokolada,ProFuel,1000 g,29.99 €,,,"['izolat grahovih proteinov', 'visoka vsebnost beljakovin', 'brez sladkorjev, laktoze']"
"WHEY Lactose Free, proteini iz sirotke brez laktoze – karamela",AllNutrition,700 g,34.99 €,,,"['za mišice', 'brez glutena', 'za okusen proteinski shake']"
L-lizin,Sanct Bernhard,180 tablet,17.99 €,18.49 €,-3%,"['hidrokloridna oblika', 'aminokislina', 'vegansko']"
Gainer Delicious – toffee,AllNutrition,1000 g,17.99 €,,,"['mišična masa', 'sirotkini proteini', 'pred ali po vadbi']"
Kreatin monohidrat 2000 mg,NewFood,90 tablet,19.99 €,,,"['patentiran izvleček Creapure®', '2000 mg v priporočenem odmerku', 'za fizično aktivne']"
Cink Sport,Genius Nutrition,60 tablet,9.99 €,,,"['za fizično aktivne', 'podpora imunskega sistema', 'hitra absorpcija']"
Guarana v prahu,Intenson,100 g,23.49 €,,,"['vsebuje kofein', 'za smoothije', 'odličen nadomestek kave']"
BCAA 2:1:1 8000 mg – grenivka,QNT,700 ml,1.99 €,,,"['idealno razmerje BCAA', 'za športnike in aktivne', 'sinteza mišičnih beljakovin']"
Glukozamin in hondroitin kompleks,Genius Nutrition,90 kapsul,18.99 €,,,"['podpora vezivnega tkiva', 'delovanje mišic', 'vitamina C in D3']"
Veganski Alpha EAA – češnja,ProFuel,462 g,33.49 €,,,"['za pred, med in po treningu', 's sladilom sukraloza', '8 esencialnih aminokislin']"
3x BCAA 2:1:1 – limona-limeta,OnEnergy,skupaj 1500 g,53.99 €,74.97 €,-28%,"['prah za pripravo napitka', 'za pred in po vadbi', 'levcin +\xa0izolevcin + valin']"
"3x EAA  v prahu – ananas, limona, pomaranča",OnEnergy,skupaj 1500 g,71.99 €,89.97 €,-20%,"['7 esencialnih aminokislin', 'prah za pripravo napitka', 's priloženo merilno žličko']"
Vitko poletje: 1x Zelena kava + 1x L-karnitin,FutuNatura,komplet,28.49 €,31.98 €,-11%,"['odlična kombinacija', 'super izbira za aktivne osebe', 'podpora pri uravnavanju telesne teže']"
Kompleks za energijo,Granions Laboratoire,45 tablet,21.99 €,,,"['rastlinski izvlečki', 'za utrujenost in izčrpanost', 's kofeinom']"
Veganski Alphaminos BCAA 2:1:1 – češnja,ProFuel,300 g,25.99 €,,,"['za več energije', 's sladilom sukraloza', 'kompleks 3 aminokislin']"
3x L-treonin 1500 mg,OnEnergy,skupaj 360 kapsul,26.99 €,38.97 €,-31%,"['esencialna aminokislina', 'visoka vsebnost', '1500 mg v 3 kapsulah']"
3x L-tirozin,OnEnergy,skupaj 1500 g,50.99 €,59.97 €,-15%,"['aminokislina v prahu', 'nevtralnega okusa', 'visoka koncentracija']"
3x Beta-alanin v prahu,OnEnergy,skupaj 1500 g,41.99 €,59.97 €,-30%,"['za pripravo napitka', 'nevtralnega okusa', 'visoka koncentracija']"
Veganski L-arginin,ProFuel,360 kapsul,25.99 €,,,"['esencialna aminokislina', 'za športnike', '100 % L-arginin']"
L-teanin 300 mg,Focus Supplements,180 kapsul,34.99 €,,,"['izvleček zelenega čaja', '300 mg na 2 kapsuli', 'vegansko']"
3x Magnezijev oksid 400 mg,HealthyWorld®,skupaj 1095 kapsul,53.99 €,74.97 €,-28%,"['za mišice in živčni sistem', 'proti utrujenosti', '400 mg na 1 kapsulo']"
Kreatin monohidrat 2000 mg,Genius Nutrition,60 kapsul,15.99 €,,,"['za fizično aktivne', 'brez glutena in laktoze', '2000 mg v 2 kapsulah']"
3x L-karnozin 1000 mg,OnEnergy,skupaj 360 kapsul,68.99 €,89.97 €,-23%,"['1000 mg v 2 kapsulah', 'za športnike, starejše …', 'visoka biorazpoložljivost']"
Cuts 4 All – kompleks z zelenim čajem in piperinom,AllNutrition,120 tablet,27.99 €,,,"['inozitol + holin + l-karnitin', '5 rastlinskih izvlečkov', 'presnova makrohranil']"
Elite – Pre-Workout napitek,QNT,80 ml,1.99 €,2.49 €,-20%,"['primerno za športnike', 'odlična absorpcija', 'okus češnja-grozdje']"
L-lizin + cink,Raab Vitalfood,100 kapsul,16.99 €,,,"['aminokislina + mineral', 'ohranjanje\xa0zdrave kože', 'delitev celic']"
